槁,槁,槁,枯ㄍㄠˇ、ㄍㄠˇ木、ㄍㄠˇ城,枯gao3、gao3木
析,析,析,分ㄒㄧ-、解ㄒㄧ-、剖ㄒㄧ-,分xi1、剖xi1、解xi1
憶,忆,憶,記ㄧˋ、回ㄧˋ、失ㄧˋ,记yi4、回yi4、追yi4
眩,眩,眩,ㄒㄩㄢˋ暈、ㄒㄩㄢˋ目、暈ㄒㄩㄢˋ,xuan4晕、目xuan4、xuan4目
發,发,発,ㄈㄚ-現、ㄈㄚ-展、開˙ㄈㄚ,fa1生、fa1现、fa1展
餾,馏,餾,蒸ㄌㄧㄡˋ、精ㄌㄧㄡˋ、ㄌㄧㄡˊ分,蒸liu2、干liu2、蒸liu2水
鰻,鳗,鰻,ㄇㄢˊ魚、電ㄇㄢˊ、ㄇㄢˊ鱺,man2鱼、海man2、man2鲡
沁,沁,沁,ㄑㄧㄣˋ陽、ㄑㄧㄣˋ水、ㄑㄧㄣˋ源,qin4人心脾、qin4人肺腑
噱,噱,噱,ㄒㄩㄝ-頭、發ㄐㄩㄝˊ、嗢ㄐㄩㄝˊ,xue2头
賂,赂,賂,賄ㄌㄨˋ、受ㄌㄨˋ、貨ㄌㄨˋ,贿lu4
酷,酷,酷,殘ㄎㄨˋ、優ㄎㄨˋ、ㄎㄨˋ炫,残ku4、冷ku4、ku4暑
瑯,瑯,瑯,琳ㄌㄤˊ、琺ㄌㄤˊ、ㄌㄤˊ函,
儀,仪,儀,ㄧˊ器、ㄧˊ式、禮ㄧˊ,yi2式、yi2器、礼yi2
闖,闯,闖,ㄔㄨㄤˇ入、ㄔㄨㄤˇ進、ㄔㄨㄤˇ蕩,chuang3荡、chuang3关、chuang3祸
淤,淤,淤,ㄩ-泥、ㄩ-積、ㄩ-血,yu1积、yu1泥、清yu1
阪,阪,阪,大ㄅㄢˇ、ㄅㄢˇ田、京ㄅㄢˇ,
韭,韭,韭,ㄐㄧㄡˇ菜、ㄐㄧㄡˇ黃、水ㄐㄧㄡˇ,jiu3菜、jiu3黄
麝,麝,麝,ㄕㄜˋ香、蘭ㄕㄜˋ、ㄕㄜˋ牛,she4香、she4牛
噥,哝,噥,咕˙ㄋㄨㄥ、嘟˙ㄋㄨㄥ、ㄋㄨㄥˊㄋㄨㄥˊ,咕nong2、nong2nong2、唧nong2
吁,吁,吁,ㄒㄩ-ㄒㄩ-、長ㄒㄩ-、ㄒㄩ-了,呼yu4、yu4请、xu1xu1
